"Supporting table 1 - Dataset assembly and protein classification, Related to Figure 1",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
ENSG00000221859,ENSP00000369438,KRTAP10-10,P60014,PF13885;PF13885;PF13885,114-165;156-197;197-251,0,Non-PRD proteins
ENSG00000145996,ENSP00000367873,CDKAL1,Q5VV42,PF01938;PF00919;PF04055,431-492;65-152;208-381,1,Viral-binding non-PRDs
ENSG00000135617,ENSP00000258083,PRADC1,Q9BSG0,PF02225,62-152,1,Non-PRD proteins
ENSG00000182175,ENSP00000452126,RGMA,A0A0A0MTQ4,PF06534;PF06535,234-414;56-230,1,Non-PRD proteins
ENSG00000171724,ENSP00000303129,VAT1L,Q9HCJ6,PF13602;PF08240,218-378;68-144,1,Non-PRD proteins
ENSG00000183597,ENSP00000403645,TANGO2,Q6ICL3,PF05742,1-259,1,Non-PRD proteins
ENSG00000119720,ENSP00000346335,NRDE2,Q9H7Z3,PF08424,309-649,0,Non-PRD proteins
ENSG00000066427,ENSP00000445618,ATXN3,F5H211,PF02099;PF02809;PF02809;PF02809;PF16619,9-166;224-239;244-260;344-359;263-338,0,Non-PRD proteins
ENSG00000086712,ENSP00000369465,TXLNG,Q9NUQ3,PF09728,137-444,1,Non-PRD proteins
ENSG00000213626,ENSP00000385703,LBH,B5MCP4,PF15317,24-110,0,Non-PRD proteins
ENSG00000066322,ENSP00000477602,ELOVL1,Q9BW60,PF01151,23-262,1,Viral-binding non-PRDs
ENSG00000104941,ENSP00000221538,RSPH6A,Q9H0K4,PF04712,198-695,1,Non-PRD proteins
ENSG00000160145,ENSP00000353109,KALRN,O60229,PF07679;PF00069;PF00169;PF13716;PF00621;PF00621;PF00435;PF00435;PF00435;PF00435;PF16609;PF00041,2471-2565;2684-2938;1471-1580;54-230;1285-1457;1933-2102;310-416;536-642;890-1003;1130-1236;1705-1911;2570-2654,0,PRD proteins
ENSG00000114999,ENSP00000233336,TTL,Q8NG68,PF03133,53-367,0,Non-PRD proteins
ENSG00000110245,ENSP00000486182,APOC3,B0YIW2,PF05778,40-108,0,Viral-binding non-PRDs
ENSG00000043143,ENSP00000282605,JADE2,G3XAA4,PF13831;PF13832;PF10513,213-247;252-364;1-176,1,Non-PRD proteins
ENSG00000285132,ENSP00000493857,CTSB,P07858,PF00112;PF08127,80-329;26-65,0,Viral-binding non-PRDs
ENSG00000148942,ENSP00000379326,SLC5A12,Q1EHB4,PF00474,41-445,1,Non-PRD proteins
ENSG00000158290,ENSP00000384109,CUL4B,Q13620,PF10557;PF00888,845-905;217-814,1,Viral-binding non-PRDs
ENSG00000164466,ENSP00000316905,SFXN1,Q9H9B4,PF03820,10-322,0,Viral-binding non-PRDs
ENSG00000103642,ENSP00000261893,LACTB,P83111,PF00144;PF00144,111-253;277-538,0,Viral-binding non-PRDs
ENSG00000155621,ENSP00000366230,C9orf85,Q96MD7,PF10217,14-102,1,Viral-binding non-PRDs
ENSG00000144802,ENSP00000325663,NFKBIZ,Q9BYH8,PF12796,581-683,1,Non-PRD proteins
ENSG00000089116,ENSP00000261731,LHX5,Q9H2C1,PF00046;PF00412;PF00412,181-237;5-60;64-123,1,PRD proteins
ENSG00000228474,ENSP00000457935,OST4,P0C6T2,PF10215,1934-01-01 00:00:00,0,Non-PRD proteins
ENSG00000125148,ENSP00000456804,MT2A,H3BSP9,PF00131,1963-01-01 00:00:00,0,Viral-binding non-PRDs
ENSG00000163815,ENSP00000296130,CLEC3B,P05452,PF00059,87-199,1,Non-PRD proteins
ENSG00000179636,ENSP00000435356,TPPP2,P59282,PF05517,6-161,0,Non-PRD proteins
ENSG00000171722,ENSP00000356912,SPATA46,Q5T0L3,PF17734,1-225,0,Non-PRD proteins
ENSG00000143921,ENSP00000272286,ABCG8,Q9H221,PF00005;PF19055;PF01061,88-241;270-355;397-608,1,Non-PRD proteins
ENSG00000049541,ENSP00000055077,RFC2,P35250,PF00004;PF08542,72-193;258-343,0,Viral-binding non-PRDs
ENSG00000107738,ENSP00000378409,VSIR,Q9H7M9,PF07686,38-169,0,Non-PRD proteins
ENSG00000149599,ENSP00000278979,DUSP15,Q9H1R2,PF00782,9-137,0,Non-PRD proteins
ENSG00000196932,ENSP00000425286,TMEM26,Q6ZUK4,PF09772,3-303,0,Non-PRD proteins
ENSG00000132646,ENSP00000368458,PCNA,P12004,PF02747;PF00705,127-254;1-125,0,Inferred viral-binding PRDs
ENSG00000105696,ENSP00000262817,TMEM59L,Q9UK28,PF12280,79-284,0,Non-PRD proteins
ENSG00000277807,ENSP00000479887,LILRB1,Q8NHL6,PF13895;PF00047,28-118;329-410,0,Viral-binding non-PRDs
ENSG00000157653,ENSP00000288462,C9orf43,Q8TAL5,PF15504,1-454,0,Non-PRD proteins
ENSG00000119777,ENSP00000238788,TMEM214,Q6NUQ4,PF10151,8-684,0,Viral-binding non-PRDs
ENSG00000164266,ENSP00000296695,SPINK1,P00995,PF00050,31-79,0,Non-PRD proteins
ENSG00000143793,ENSP00000272139,C1orf35,Q9BU76,PF10159,1983-08-01 00:00:00,0,Viral-binding non-PRDs
ENSG00000128578,ENSP00000249344,STRIP2,Q9ULQ0,PF07923;PF11882;PF11882,49-324;486-632;622-792,0,Non-PRD proteins
ENSG00000132286,ENSP00000436948,TIMM10B,Q9Y5J6,PF02953,1969-03-01 00:00:00,0,Viral-binding non-PRDs
ENSG00000168685,ENSP00000306157,IL7R,P16871,PF18447;PF00041,32-127;130-218,0,Non-PRD proteins
ENSG00000158022,ENSP00000363390,TRIM63,Q969Q1,PF13445;PF00643,23-76;118-159,1,Non-PRD proteins
ENSG00000132716,ENSP00000318227,DCAF8,Q5TAQ9,PF00400;PF00400;PF00400,183-221;422-463;467-505,0,Inferred viral-binding PRDs
ENSG00000165626,ENSP00000345773,BEND7,Q8N7W2,PF10523,310-391,0,Viral-binding non-PRDs
ENSG00000197774,ENSP00000457353,EME2,A4GXA9,PF02732,80-250,0,Viral-binding non-PRDs
ENSG00000181381,ENSP00000422423,DDX60L,Q5H9U9,PF00270;PF00271,745-908;1206-1314,0,PRD proteins
ENSG00000269242,ENSP00000470240,,M0QZ24,PF17677,86-188,0,Non-PRD proteins
ENSG00000196459,ENSP00000392495,TRAPPC2,P0DI81,PF04628,9-136,0,Viral-binding non-PRDs
ENSG00000173786,ENSP00000377470,CNP,P09543,PF13671;PF05881,52-175;186-420,1,Viral-binding non-PRDs
ENSG00000198146,ENSP00000348673,ZNF770,Q6IQ21,PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096,27-49;55-77;160-182;188-210;475-497;503-525;625-647;653-675,1,Non-PRD proteins
ENSG00000110934,ENSP00000483983,BIN2,Q9UBW5,PF03114,17-237,1,Non-PRD proteins
ENSG00000177556,ENSP00000429366,ATOX1,E5RIM7,PF00403,1966-10-01 00:00:00,0,Non-PRD proteins
ENSG00000072657,ENSP00000261180,TRHDE,Q9UKU6,PF01433;PF11838;PF17900,368-591;678-1005;146-331,1,Viral-binding non-PRDs
ENSG00000184351,ENSP00000375108,KRTAP19-1,Q8IUB9,PF11759,1960-01-01 00:00:00,0,Non-PRD proteins
ENSG00000243772,ENSP00000342215,KIR2DL3,P43628,PF00047;PF00047,32-115;132-213,0,Viral-binding non-PRDs
ENSG00000275463,ENSP00000483646,LILRB2,A0A0G2JPH5,PF13895,33-122,0,Viral-binding non-PRDs
ENSG00000141052,ENSP00000401678,MYOCD,Q8IZQ8,PF02037;PF02755,371-405;107-130,1,PRD proteins
ENSG00000266472,ENSP00000461930,MRPS21,P82921,PF01165,1964-11-01 00:00:00,0,Viral-binding non-PRDs
ENSG00000198185,ENSP00000473194,ZNF334,Q8N3P8,PF13912;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096,428-453;261-282;288-310;316-338;344-366;372-394;401-422;456-478;484-506;567-589;595-617;623-645;651-673;679-701,0,Non-PRD proteins
ENSG00000087191,ENSP00000310572,PSMC5,P62195,PF00004;PF16450;PF17862,186-319;73-128;341-385,1,Viral-binding non-PRDs
ENSG00000185829,ENSP00000337478,ARL17A,Q8IVW1,PF00025;PF15840,2-88;115-176,0,PRD proteins
ENSG00000161277,ENSP00000292894,THAP8,Q8NA92,PF05485,1985-05-01 00:00:00,0,Non-PRD proteins
ENSG00000111669,ENSP00000229270,TPI1,P60174,PF00121,44-282,0,Viral-binding non-PRDs
ENSG00000115464,ENSP00000381577,USP34,Q70CQ2,PF00443;PF12030,1894-2236;2358-2714,1,Viral-binding non-PRDs
ENSG00000183287,ENSP00000404464,CCBE1,Q6UXH8,PF07645;PF01391,134-174;245-293,0,Non-PRD proteins
ENSG00000155097,ENSP00000379203,ATP6V1C1,P21283,PF03223,4-370,1,Non-PRD proteins
ENSG00000184502,ENSP00000331358,GAST,P01350,PF00918,72-101,0,Non-PRD proteins
ENSG00000109332,ENSP00000349722,UBE2D3,P61077,PF00179,5-142,0,PRD proteins
ENSG00000100031,ENSP00000383232,GGT1,P19440,PF01019,55-564,0,Non-PRD proteins
ENSG00000126773,ENSP00000384801,PCNX4,Q63HM2,PF05041,999-1170,0,Viral-binding non-PRDs
ENSG00000268235,ENSP00000494553,TCP11X1,A0A2R8YDF9,PF05794,56-486,0,Non-PRD proteins
ENSG00000129682,ENSP00000396198,FGF13,Q92913,PF00167,69-195,0,Non-PRD proteins
ENSG00000034693,ENSP00000356563,PEX3,P56589,PF04882;PF04882,7-100;94-364,0,viral-binding PRDs
ENSG00000148204,ENSP00000362734,CRB2,Q5IJ48,PF02210;PF12661;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008,465-588;1103-1124;112-142;150-180;188-219;227-257;324-354;362-392;609-639;811-841;1060-1090,0,Non-PRD proteins
ENSG00000129038,ENSP00000261921,LOXL1,Q08397,PF01186,370-571,1,Viral-binding non-PRDs
ENSG00000143382,ENSP00000358035,ADAMTSL4,Q6UY14,PF19030;PF19030;PF19030;PF19030;PF19030;PF00090;PF05986;PF08686,727-783;786-841;845-908;914-970;974-1025;48-82;485-600;1033-1063,0,Non-PRD proteins
ENSG00000124212,ENSP00000244043,PTGIS,Q16647,PF00067,30-494,0,Non-PRD proteins
ENSG00000179604,ENSP00000338258,CDC42EP4,Q9H3Q1,PF00786;PF14957,26-85;112-228,0,viral-binding PRDs
ENSG00000127914,ENSP00000351922,AKAP9,A0A0A0MRF6,PF10495,3707-3788,0,Viral-binding non-PRDs
ENSG00000105726,ENSP00000349877,ATP13A1,Q9HD20,PF00122;PF00702,295-511;527-778,1,Viral-binding non-PRDs
ENSG00000214842,ENSP00000382030,RAD51AP2,Q09MP3,PF15696,1109-1147,1,Non-PRD proteins
ENSG00000129219,ENSP00000263088,PLD2,O14939,PF00614;PF13091;PF00787,437-464;626-802;90-192,0,Non-PRD proteins
ENSG00000196547,ENSP00000353655,MAN2A2,P49641,PF07748;PF01074;PF09261,765-970;167-497;502-606,0,Non-PRD proteins
ENSG00000090054,ENSP00000262554,SPTLC1,O15269,PF00155,98-464,0,Viral-binding non-PRDs
ENSG00000114054,ENSP00000419129,PCCB,E7EX59,PF01039;PF01039,57-130;150-568,1,Viral-binding non-PRDs
ENSG00000205669,ENSP00000496277,ACOT6,A0A2R8Y7H3,PF08840;PF04775,203-412;16-141,1,Non-PRD proteins
ENSG00000176209,ENSP00000391549,SMIM19,Q96E16,PF15117,10-107,1,Non-PRD proteins
ENSG00000168961,ENSP00000378856,LGALS9,O00182,PF00337;PF00337,16-147;226-355,0,Viral-binding non-PRDs
ENSG00000102981,ENSP00000219255,PARD6A,Q9NPB6,PF00564;PF00595,15-95;157-247,1,PRD proteins
ENSG00000168658,ENSP00000417955,VWA3B,Q502W6,PF15057;PF13768;PF13768,1037-1163;140-289;508-658,0,Non-PRD proteins
ENSG00000172399,ENSP00000306997,MYOZ2,Q9NPC6,PF05556,1-264,1,Non-PRD proteins
ENSG00000147003,ENSP00000369699,CLTRN,Q9HBJ8,PF16959,24-171,0,Non-PRD proteins
ENSG00000135100,ENSP00000443112,HNF1A,A0A0A0MTK8,PF04814;PF04813;PF04812,8-168;573-661;282-540,0,Non-PRD proteins
ENSG00000141542,ENSP00000461785,RAB40B,Q12829,PF00071;PF07525,16-176;189-225,0,Non-PRD proteins
ENSG00000111727,ENSP00000229330,HCFC2,Q9Y5Z7,PF13415;PF13415,206-253;254-323,1,viral-binding PRDs
ENSG00000160683,ENSP00000292174,CXCR5,P32302,PF00001,68-322,0,Non-PRD proteins
ENSG00000115306,ENSP00000479037,SPTBN1,A0A087WUZ3,PF00307;PF00307;PF15410;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435;PF00435,54-159;173-279;2201-2309;302-412;422-526;528-636;638-742;744-847;849-953;955-1060;1062-1167;1169-1272;1275-1378;1380-1485;1487-1592;1594-1698;1700-1805;1807-1911;1914-2017;2019-2102,1,Viral-binding non-PRDs
ENSG00000071189,ENSP00000398789,SNX13,Q9Y5W8,PF00615;PF00787;PF02194;PF08628,373-512;599-687;97-279;803-913,1,Non-PRD proteins
ENSG00000282087,ENSP00000487737,TBC1D3F,A0A087WT91,PF00566,104-313,0,Non-PRD proteins
ENSG00000143418,ENSP00000357950,CERS2,Q96G23,PF00046;PF03798,70-127;132-325,1,viral-binding PRDs
ENSG00000111215,ENSP00000228811,PRR4,Q16378,PF15240,1-133,0,Non-PRD proteins
ENSG00000185591,ENSP00000329357,SP1,P08047,PF00096;PF00096;PF00096,626-650;656-680;686-708,1,Viral-binding non-PRDs
ENSG00000106537,ENSP00000262067,TSPAN13,O95857,PF00335,9-193,1,Non-PRD proteins
ENSG00000137509,ENSP00000377055,PRCP,P42785,PF05577,55-477,1,Viral-binding non-PRDs
ENSG00000167014,ENSP00000340644,TERB2,Q8NHR7,PF15101,2-206,0,Non-PRD proteins
ENSG00000237289,ENSP00000300283,CKMT1B,P12532,PF00217;PF02807,186-400;57-127,0,Viral-binding non-PRDs
ENSG00000165899,ENSP00000447211,OTOGL,Q3ZCN5,PF05270;PF00094;PF00094;PF00094;PF00094;PF01826;PF08742;PF08742;PF08742;PF08742,1231-1350;114-264;474-626;939-1086;1515-1679;736-791;311-377;668-732;1126-1193;1716-1781,1,Non-PRD proteins
ENSG00000153266,ENSP00000418804,FEZF2,Q8TBJ5,PF13912;PF00096;PF00096;PF00096;PF00096;PF00096,388-414;277-299;305-327;333-355;361-383;417-440,1,Non-PRD proteins
ENSG00000150712,ENSP00000371577,MTMR12,Q9C0I1,PF06602;PF12578,301-501;558-687,0,Non-PRD proteins
ENSG00000115234,ENSP00000233575,SNX17,Q15036,PF18116;PF00787,270-384;23-105,1,Viral-binding non-PRDs
ENSG00000096395,ENSP00000388825,MLN,P12872,PF04644;PF04643,27-53;61-115,0,Non-PRD proteins
ENSG00000171505,ENSP00000480866,OR1N1,A0A087WXB1,PF13853,30-307,0,Non-PRD proteins
ENSG00000162989,ENSP00000295101,KCNJ3,P48549,PF01007;PF17655,47-187;194-365,1,Non-PRD proteins
ENSG00000138190,ENSP00000260762,EXOC6,Q8TAG9,PF04091,456-762,1,Viral-binding non-PRDs
ENSG00000161381,ENSP00000323927,PLXDC1,Q8IUK5,PF01437,303-348,1,Non-PRD proteins
ENSG00000180210,ENSP00000308541,F2,P00734,PF00089;PF00594;PF00051;PF00051;PF09396,364-613;48-88;108-186;213-291;316-363,0,viral-binding PRDs
ENSG00000260596,ENSP00000456539,DUX4,Q9UBX2,PF00046;PF00046,20-76;95-149,0,PRD proteins
ENSG00000004961,ENSP00000326579,HCCS,P53701,PF01265,3-263,0,Viral-binding non-PRDs
ENSG00000240303,ENSP00000264990,ACAD11,Q709F0,PF01636;PF00441;PF02771;PF02770,45-288;618-769;376-499;503-606,0,Viral-binding non-PRDs
ENSG00000104312,ENSP00000220751,RIPK2,O43353,PF07714;PF00619,18-290;437-523,0,PRD proteins
ENSG00000186141,ENSP00000334564,POLR3C,Q9BUI4,PF08221;PF05645,7-68;146-345,1,Non-PRD proteins
ENSG00000120539,ENSP00000365107,MASTL,Q96GX5,PF00069;PF00069,35-202;727-835,1,Inferred viral-binding PRDs
ENSG00000177300,ENSP00000318113,CLDN22,Q8N7P3,PF00822,7-183,0,Non-PRD proteins
ENSG00000254778,ENSP00000456236,,A0A0G2JLA3,PF02089,38-269,0,Non-PRD proteins
ENSG00000164675,ENSP00000324882,IQUB,Q8NA54,PF00240,132-202,1,Non-PRD proteins
ENSG00000178252,ENSP00000378857,WDR6,A0A087X295,PF00400;PF00400,230-267;317-356,1,Inferred viral-binding PRDs
ENSG00000159251,ENSP00000290378,ACTC1,P68032,PF00022,4-377,1,viral-binding PRDs
ENSG00000131400,ENSP00000253719,NAPSA,O96009,PF00026,77-401,0,PRD proteins
ENSG00000236236,ENSP00000406495,TNXB,A0A140T9L7,PF00147;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041,1931-2140;23-103;123-202;231-311;339-419;450-530;556-636;664-744;761-841;869-949;966-1046;1072-1152;1168-1246;1260-1341;1354-1435;1462-1542;1561-1646;1662-1741;1751-1831;1839-1917,0,Viral-binding non-PRDs
ENSG00000214336,ENSP00000478384,FOXI3,A8MTJ6,PF00250,144-230,0,Non-PRD proteins
ENSG00000024862,ENSP00000482946,CCDC28A,B4DUJ5,PF13270,83-168,1,Non-PRD proteins
ENSG00000158270,ENSP00000383115,COLEC12,Q5KU26,PF00059;PF01391;PF01391,624-732;441-499;530-589,1,Non-PRD proteins
ENSG00000250305,ENSP00000432695,TRMT9B,Q9P272,PF08241,49-139,1,Non-PRD proteins
ENSG00000105852,ENSP00000265627,PON3,Q15166,PF01731,167-252,0,Viral-binding non-PRDs
ENSG00000277564,ENSP00000486570,RBFOX2,A0A0G2JRA5,PF12414;PF00076,264-361;122-190,0,viral-binding PRDs
ENSG00000106462,ENSP00000320147,EZH2,Q15910,PF18118;PF00856;PF11616;PF18264,158-249;623-727;39-68;559-590,0,Viral-binding non-PRDs
ENSG00000169271,ENSP00000303394,HSPB3,Q12988,PF00011,64-150,0,Non-PRD proteins
ENSG00000046653,ENSP00000316861,GPM6B,Q13491,PF01275,22-258,1,Viral-binding non-PRDs
ENSG00000163902,ENSP00000296255,RPN1,P04843,PF04597,31-457,1,Viral-binding non-PRDs
ENSG00000161920,ENSP00000293777,MED11,Q9P086,PF10280,8-116,0,Viral-binding non-PRDs
ENSG00000100413,ENSP00000379761,POLR3H,Q9Y535,PF08292;PF03876,83-201;8-64,1,Non-PRD proteins
ENSG00000166634,ENSP00000372218,SERPINB12,Q96P63,PF00079,6-405,0,Non-PRD proteins
ENSG00000244395,ENSP00000372127,RBMY1D,P0C7P1,PF08081;PF00076,174-218;10-79,0,PRD proteins
ENSG00000268089,ENSP00000469332,GABRQ,Q9UN88,PF02931;PF02932,59-265;272-579,0,Viral-binding non-PRDs
ENSG00000188779,ENSP00000369374,SKOR1,P84550,PF02437;PF08782,61-168;180-271,0,Non-PRD proteins
ENSG00000007216,ENSP00000392411,SLC13A2,Q13183,PF00939,6-565,1,Non-PRD proteins
ENSG00000205439,ENSP00000381005,KRTAP12-3,P60328,PF13885,1938-01-01 00:00:00,0,Non-PRD proteins
ENSG00000141748,ENSP00000269586,ARL5C,A6NH57,PF00025,1-176,0,PRD proteins
ENSG00000165023,ENSP00000364919,DIRAS2,Q96HU8,PF00071,9-171,0,Non-PRD proteins
ENSG00000008118,ENSP00000009105,CAMK1G,Q96NX5,PF00069,23-277,1,PRD proteins
ENSG00000177291,ENSP00000315070,GJD4,Q96KN9,PF00029,4-221,1,Non-PRD proteins
ENSG00000197487,ENSP00000349884,GALP,Q9UBC7,PF01296,33-48,0,Non-PRD proteins
ENSG00000151366,ENSP00000281031,NDUFC2,O95298,PF06374,10-119,0,Viral-binding non-PRDs
ENSG00000111252,ENSP00000345492,SH2B3,Q9UQQ2,PF00169;PF00017;PF08916,202-307;364-441;25-80,1,PRD proteins
ENSG00000128656,ENSP00000386741,CHN1,P15882,PF00130;PF00620;PF00017,206-258;282-435;50-119,1,viral-binding PRDs
ENSG00000168066,ENSP00000366604,SF1,Q15637,PF00013;PF00098;PF16275,137-224;278-293;18-130,0,Viral-binding non-PRDs
ENSG00000183723,ENSP00000333833,CMTM4,Q8IZR5,PF01284,49-170,1,Non-PRD proteins
ENSG00000117475,ENSP00000327541,BLZF1,Q9H2G9,PF08227,181-226,0,Viral-binding non-PRDs
ENSG00000243317,ENSP00000425996,STMP1,E0CX11,PF15054,1944-04-01 00:00:00,0,Non-PRD proteins
ENSG00000183570,ENSP00000383168,PCBP3,P57721,PF00013;PF00013;PF00013,47-109;131-195;295-359,0,Viral-binding non-PRDs
ENSG00000156795,ENSP00000287387,NTAQ1,Q96HA8,PF09764,23-200,0,Viral-binding non-PRDs
ENSG00000162510,ENSP00000362870,MATN1,P21941,PF14670;PF00092;PF00092;PF10393,227-262;41-215;275-446;451-495,0,PRD proteins
ENSG00000169599,ENSP00000387219,NFU1,Q9UMS0,PF01106;PF08712,173-239;61-148,0,Viral-binding non-PRDs
ENSG00000221836,ENSP00000386208,OR2A5,Q96R48,PF13853,30-308,0,Non-PRD proteins
ENSG00000161202,ENSP00000316054,DVL3,Q92997,PF00778;PF00610;PF00595;PF02377;PF12316,2-80;425-494;249-334;87-245;500-706,1,viral-binding PRDs
ENSG00000185873,ENSP00000330475,TMPRSS11B,Q86T26,PF00089;PF01390,185-410;45-148,0,PRD proteins
ENSG00000069431,ENSP00000261200,ABCC9,O60706,PF00005;PF00005;PF00664;PF00664,688-840;1329-1477;297-585;994-1266,1,Non-PRD proteins
ENSG00000116183,ENSP00000356634,PAPPA2,Q9BXP8,PF13385;PF00084;PF00084;PF05572;PF00066,270-437;1464-1521;1525-1590;669-831;584-613,1,Non-PRD proteins
ENSG00000135250,ENSP00000377262,SRPK2,P78362,PF00069;PF00069,81-230;511-686,1,Inferred viral-binding PRDs
ENSG00000100012,ENSP00000215812,SEC14L3,Q9UDX4,PF00650,78-244,0,Non-PRD proteins
ENSG00000162385,ENSP00000360525,MAGOH,P61326,PF02792,5-146,0,Viral-binding non-PRDs
ENSG00000198965,ENSP00000357134,OR10R2,Q8NGX6,PF13853,51-328,0,Non-PRD proteins
ENSG00000102007,ENSP00000365505,PLP2,Q04941,PF01284,19-131,0,Viral-binding non-PRDs
ENSG00000143412,ENSP00000357943,ANXA9,O76027,PF00191;PF00191;PF00191;PF00191,45-110;117-182;201-264;274-339,0,Non-PRD proteins
ENSG00000240771,ENSP00000335560,ARHGEF25,Q86VW2,PF00621,164-334,0,Non-PRD proteins
ENSG00000123104,ENSP00000370744,ITPR2,Q14571,PF00520;PF02815;PF08709;PF01365;PF01365;PF08454,2260-2552;232-434;4-229;473-670;1182-1345;1912-2022,0,Non-PRD proteins
ENSG00000139637,ENSP00000267103,MYG1,Q9HB07,PF03690,46-366,1,Viral-binding non-PRDs
ENSG00000270672,ENSP00000473686,MTRNR2L6,P0CJ73,PF15040,2024-01-01 00:00:00,0,Non-PRD proteins
ENSG00000141524,ENSP00000465261,TMC6,Q7Z403,PF07810,540-646,1,Viral-binding non-PRDs
ENSG00000166548,ENSP00000455187,TK2,H3BP77,PF01712,53-282,1,Non-PRD proteins
ENSG00000132000,ENSP00000467395,PODNL1,K7EPI2,PF13855;PF13855;PF13855;PF13855;PF13855;PF13855,67-129;209-271;280-342;351-413;422-484;493-554,0,Non-PRD proteins
ENSG00000198722,ENSP00000490228,UNC13B,A0A1B0GUS7,PF00130;PF00168;PF00168;PF00168;PF06292;PF10540,3227-3279;2-99;3349-3458;4187-4297;3667-3771;4013-4153,0,Viral-binding non-PRDs
ENSG00000127884,ENSP00000357535,ECHS1,P30084,PF00378,42-290,0,Non-PRD proteins
ENSG00000205177,ENSP00000368296,C11orf91,Q3C1V1,PF17669,8-193,0,Non-PRD proteins
ENSG00000115241,ENSP00000342778,PPM1G,O15355,PF00481;PF00481,25-120;262-492,1,Viral-binding non-PRDs
ENSG00000183248,ENSP00000482374,PRR36,Q9H6K5,PF15363,1301-1346,0,Non-PRD proteins
ENSG00000170961,ENSP00000306991,HAS2,Q92819,PF03142,193-367,1,Non-PRD proteins
ENSG00000111145,ENSP00000228741,ELK3,P41970,PF00178,1985-06-01 00:00:00,1,Non-PRD proteins
ENSG00000102901,ENSP00000457810,CENPT,Q96BT3,PF15511;PF16171,450-553;1-415,1,Non-PRD proteins
ENSG00000131019,ENSP00000356308,ULBP3,Q9BZM4,PF00129,30-206,0,Non-PRD proteins
ENSG00000174669,ENSP00000439456,SLC29A2,Q14542,PF01733,131-454,0,Viral-binding non-PRDs
ENSG00000170310,ENSP00000305255,STX8,Q9UNK0,PF05739,181-233,1,Viral-binding non-PRDs
ENSG00000057657,ENSP00000498029,PRDM1,A0A3B3IU23,PF00096;PF00096;PF00096;PF00856,589-611;617-639;645-667;82-215,1,Non-PRD proteins
ENSG00000173083,ENSP00000308107,HPSE,Q9Y251,PF03662,146-370,1,Non-PRD proteins
ENSG00000154640,ENSP00000344609,BTG3,Q14201,PF07742,1-115,0,Non-PRD proteins
ENSG00000090432,ENSP00000264198,MUL1,Q969V5,PF13920;PF12483,298-346;95-256,1,Viral-binding non-PRDs
ENSG00000182518,ENSP00000421161,FAM104B,Q5XKR9,PF15434,1993-07-01 00:00:00,0,Non-PRD proteins
ENSG00000127616,ENSP00000414727,SMARCA4,A0A0A0MT49,PF00176;PF07529;PF00271;PF00439;PF07533;PF08880;PF14619,792-1116;461-531;1144-1258;1496-1585;675-718;171-205;1353-1420,1,Viral-binding non-PRDs
ENSG00000110318,ENSP00000263468,CEP126,Q9P2H0,PF15352,105-1081,1,Viral-binding non-PRDs
ENSG00000004766,ENSP00000307666,VPS50,Q96JG6,PF10475;PF10474,54-345;723-957,0,Non-PRD proteins
ENSG00000187140,ENSP00000360157,FOXD3,Q9UJU5,PF00250,140-226,0,Non-PRD proteins
ENSG00000111057,ENSP00000373487,KRT18,P05783,PF00038,79-391,0,Viral-binding non-PRDs
ENSG00000167992,ENSP00000334186,VWCE,Q96DN2,PF07645;PF07645;PF00093;PF00093;PF00093;PF00093,142-179;220-261;386-440;501-559;629-684;687-742,0,Non-PRD proteins
ENSG00000272916,ENSP00000475031,,S4R438,PF00685;PF12062,603-803;24-514,0,Non-PRD proteins
ENSG00000180658,ENSP00000319546,OR2A4,O95047,PF13853,30-307,0,Non-PRD proteins
ENSG00000170956,ENSP00000349971,CEACAM3,P40198,PF07686,38-141,0,Viral-binding non-PRDs
ENSG00000182010,ENSP00000362894,RTKN2,Q8IZC4,PF08174;PF00169,98-247;288-391,1,Non-PRD proteins
ENSG00000188269,ENSP00000316955,OR7A5,Q15622,PF13853,31-307,0,Non-PRD proteins
ENSG00000160602,ENSP00000268766,NEK8,Q86SG6,PF00069;PF00415;PF00415;PF00415;PF00415,4-258;409-458;463-510;579-628;631-681,1,PRD proteins
ENSG00000262406,ENSP00000458585,MMP12,P39900,PF00413;PF01471;PF00045;PF00045;PF00045;PF00045,108-263;26-87;288-330;332-375;380-427;429-470,0,Non-PRD proteins
ENSG00000184939,ENSP00000454418,ZFP90,Q8TF47,PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352,211-233;282-304;310-332;338-360;366-388;394-416;450-472;497-519;525-547;553-575;581-603;609-631;13-54,0,Non-PRD proteins
